Brasil, Grandes Regiões e Unidades da Federação: Projeções da população com data de referência no dia 1º de cada mês: 2010/2030;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DATA;Brasil;Norte;Nordeste;Sudeste;Sul;Centro-Oeste;Rondônia;Acre;Amazonas;Roraima;Pará;Amapá;Tocantins;Maranhão;Piauí;Ceará;Rio Grande do Norte;Paraíba;Pernambuco;Alagoas;Sergipe;Bahia;Minas Gerais;Espírito Santo;Rio de Janeiro;São Paulo;Paraná;Santa Catarina;Rio Grande do Sul;Mato Grosso do Sul;Mato Grosso;Goiás;Distrito Federal
setembro, 2011;196.876.190;16.526.880;54.598.280;82.969.277;28.179.863;14.601.889;1.621.406;780.891;3.630.038;467.643;7.878.454;714.053;1.434.395;6.761.535;3.203.842;8.689.280;3.276.657;3.860.091;9.073.933;3.216.487;2.133.940;14.382.516;20.118.865;3.650.355;16.422.918;42.777.140;10.751.524;6.455.841;10.972.498;2.531.159;3.152.164;6.230.990;2.687.576
outubro, 2011;197.019.511;16.546.933;54.624.760;83.028.573;28.199.094;14.620.152;1.623.060;781.993;3.635.654;468.370;7.886.485;715.491;1.435.880;6.764.860;3.204.563;8.693.898;3.279.235;3.861.522;9.079.156;3.217.871;2.135.739;14.387.916;20.130.411;3.654.300;16.431.898;42.811.964;10.758.798;6.463.335;10.976.961;2.533.826;3.155.613;6.239.637;2.691.075
novembro, 2011;197.162.868;16.566.999;54.651.256;83.087.862;28.218.334;14.638.417;1.624.715;783.094;3.641.267;469.118;7.894.512;716.928;1.437.366;6.768.188;3.205.284;8.698.522;3.281.811;3.862.962;9.084.381;3.219.253;2.137.537;14.393.317;20.141.958;3.658.246;16.440.886;42.846.772;10.766.077;6.470.833;10.981.425;2.536.494;3.159.066;6.248.282;2.694.575
dezembro, 2011;197.306.259;16.587.080;54.677.769;83.147.142;28.237.584;14.656.684;1.626.370;784.195;3.646.878;469.887;7.902.532;718.365;1.438.853;6.771.517;3.206.007;8.703.152;3.284.386;3.864.410;9.089.607;3.220.634;2.139.335;14.398.720;20.153.504;3.662.193;16.449.880;42.881.564;10.773.360;6.478.337;10.985.888;2.539.162;3.162.523;6.256.925;2.698.075
janeiro, 2012;197.449.680;16.607.174;54.704.297;83.206.412;28.256.843;14.674.953;1.628.027;785.296;3.652.487;470.677;7.910.548;719.800;1.440.339;6.774.849;3.206.731;8.707.789;3.286.958;3.865.865;9.094.834;3.222.013;2.141.134;14.404.123;20.165.049;3.666.142;16.458.882;42.916.339;10.780.647;6.485.845;10.990.352;2.541.830;3.165.983;6.265.564;2.701.575
fevereiro, 2012;197.593.128;16.627.281;54.730.841;83.265.672;28.276.111;14.693.223;1.629.685;786.396;3.658.093;471.487;7.918.557;721.236;1.441.826;6.778.183;3.207.456;8.712.432;3.289.528;3.867.329;9.100.063;3.223.390;2.142.931;14.409.528;20.176.595;3.670.091;16.467.889;42.951.096;10.787.937;6.493.358;10.994.816;2.544.499;3.169.447;6.274.201;2.705.076
março, 2012;197.736.601;16.647.401;54.757.399;83.324.920;28.295.387;14.711.495;1.631.343;787.496;3.663.698;472.319;7.926.562;722.670;1.443.314;6.781.519;3.208.183;8.717.081;3.292.096;3.868.799;9.105.292;3.224.766;2.144.729;14.414.932;20.188.139;3.674.042;16.476.903;42.985.836;10.795.232;6.500.875;10.999.279;2.547.168;3.172.915;6.282.835;2.708.577
abril, 2012;197.880.096;16.667.534;54.783.970;83.384.155;28.314.670;14.729.767;1.633.003;788.595;3.669.300;473.170;7.934.560;724.104;1.444.801;6.784.857;3.208.911;8.721.735;3.294.663;3.870.278;9.110.523;3.226.139;2.146.526;14.420.337;20.199.682;3.677.993;16.485.923;43.020.557;10.802.530;6.508.397;11.003.743;2.549.837;3.176.386;6.291.466;2.712.079
maio, 2012;198.023.610;16.687.678;54.810.555;83.443.376;28.333.961;14.748.040;1.634.663;789.694;3.674.900;474.042;7.942.553;725.537;1.446.289;6.788.197;3.209.640;8.726.395;3.297.227;3.871.764;9.115.754;3.227.511;2.148.324;14.425.742;20.211.223;3.681.946;16.494.948;43.055.259;10.809.832;6.515.923;11.008.206;2.552.506;3.179.860;6.300.094;2.715.580
junho, 2012;198.167.140;16.707.834;54.837.152;83.502.582;28.353.259;14.766.313;1.636.324;790.793;3.680.497;474.933;7.950.540;726.970;1.447.777;6.791.539;3.210.370;8.731.061;3.299.789;3.873.257;9.120.987;3.228.881;2.150.120;14.431.148;20.222.763;3.685.899;16.503.979;43.089.941;10.817.137;6.523.453;11.012.668;2.555.175;3.183.338;6.308.718;2.719.082
julho, 2012;198.310.684;16.728.002;54.863.761;83.561.772;28.372.563;14.784.587;1.637.986;791.891;3.686.093;475.844;7.958.522;728.401;1.449.265;6.794.883;3.211.102;8.735.731;3.302.349;3.874.758;9.126.220;3.230.250;2.151.917;14.436.553;20.234.301;3.689.853;16.513.014;43.124.603;10.824.445;6.530.987;11.017.130;2.557.844;3.186.818;6.317.340;2.722.584
agosto, 2012;198.454.239;16.748.180;54.890.381;83.620.944;28.391.873;14.802.860;1.639.649;792.988;3.691.685;476.775;7.966.498;729.832;1.450.753;6.798.228;3.211.834;8.740.407;3.304.907;3.876.265;9.131.453;3.231.616;2.153.713;14.441.958;20.245.836;3.693.808;16.522.055;43.159.245;10.831.756;6.538.525;11.021.591;2.560.514;3.190.302;6.325.958;2.726.086
setembro, 2012;198.597.801;16.768.370;54.917.012;83.680.098;28.411.188;14.821.133;1.641.312;794.085;3.697.276;477.724;7.974.468;731.263;1.452.241;6.801.575;3.212.568;8.745.088;3.307.462;3.877.780;9.136.687;3.232.981;2.155.508;14.447.362;20.257.369;3.697.763;16.531.100;43.193.866;10.839.070;6.546.066;11.026.052;2.563.183;3.193.790;6.334.572;2.729.588
outubro, 2012;198.741.368;16.788.569;54.943.652;83.739.233;28.430.508;14.839.406;1.642.976;795.182;3.702.863;478.692;7.982.432;732.692;1.453.730;6.804.924;3.213.302;8.749.774;3.310.016;3.879.302;9.141.922;3.234.344;2.157.304;14.452.766;20.268.899;3.701.719;16.540.149;43.228.466;10.846.386;6.553.611;11.030.511;2.565.853;3.197.280;6.343.183;2.733.090
novembro, 2012;198.884.937;16.808.778;54.970.302;83.798.346;28.449.833;14.857.677;1.644.641;796.279;3.708.449;479.680;7.990.390;734.121;1.455.219;6.808.274;3.214.037;8.754.465;3.312.567;3.880.830;9.147.156;3.235.705;2.159.098;14.458.169;20.280.426;3.705.675;16.549.202;43.263.044;10.853.705;6.561.159;11.034.969;2.568.522;3.200.773;6.351.790;2.736.592
dezembro, 2012;199.028.505;16.828.997;54.996.959;83.857.439;28.469.162;14.875.948;1.646.306;797.374;3.714.032;480.685;7.998.343;735.549;1.456.708;6.811.625;3.214.774;8.759.160;3.315.116;3.882.366;9.152.391;3.237.064;2.160.893;14.463.571;20.291.950;3.709.632;16.558.259;43.297.599;10.861.026;6.568.711;11.039.425;2.571.192;3.204.269;6.360.394;2.740.094
janeiro, 2013;199.172.070;16.849.225;55.023.625;83.916.508;28.488.495;14.894.217;1.647.972;798.470;3.719.612;481.709;8.006.289;736.977;1.458.196;6.814.979;3.215.511;8.763.860;3.317.663;3.883.908;9.157.627;3.238.421;2.162.687;14.468.972;20.303.470;3.713.589;16.567.319;43.332.131;10.868.349;6.576.265;11.043.880;2.573.861;3.207.768;6.368.993;2.743.595
fevereiro, 2013;199.315.629;16.869.462;55.050.298;83.975.554;28.507.831;14.912.484;1.649.639;799.565;3.725.190;482.751;8.014.229;738.403;1.459.685;6.818.333;3.216.249;8.768.564;3.320.207;3.885.457;9.162.862;3.239.776;2.164.480;14.474.371;20.314.986;3.717.546;16.576.382;43.366.640;10.875.674;6.583.823;11.048.334;2.576.530;3.211.269;6.377.589;2.747.097
março, 2013;199.459.179;16.889.707;55.076.977;84.034.574;28.527.170;14.930.750;1.651.306;800.659;3.730.765;483.810;8.022.164;739.829;1.461.174;6.821.689;3.216.987;8.773.272;3.322.749;3.887.012;9.168.097;3.241.130;2.166.273;14.479.769;20.326.498;3.721.504;16.585.448;43.401.125;10.883.001;6.591.383;11.052.785;2.579.198;3.214.773;6.386.180;2.750.598
abril, 2013;199.602.716;16.909.961;55.103.662;84.093.569;28.546.511;14.949.013;1.652.973;801.753;3.736.337;484.888;8.030.092;741.254;1.462.663;6.825.046;3.217.727;8.777.984;3.325.289;3.888.574;9.173.332;3.242.481;2.168.065;14.485.165;20.338.005;3.725.462;16.594.517;43.435.586;10.890.330;6.598.946;11.057.235;2.581.867;3.218.280;6.394.768;2.754.099
maio, 2013;199.746.239;16.930.222;55.130.352;84.152.536;28.565.854;14.967.275;1.654.641;802.847;3.741.907;485.982;8.038.014;742.679;1.464.153;6.828.404;3.218.467;8.782.700;3.327.827;3.890.142;9.178.566;3.243.831;2.169.856;14.490.560;20.349.508;3.729.419;16.603.588;43.470.021;10.897.660;6.606.511;11.061.683;2.584.535;3.221.789;6.403.351;2.757.600
junho, 2013;199.889.744;16.950.490;55.157.047;84.211.475;28.585.198;14.985.533;1.656.309;803.940;3.747.474;487.094;8.045.929;744.102;1.465.642;6.831.763;3.219.208;8.787.420;3.330.362;3.891.716;9.183.801;3.245.179;2.171.647;14.495.953;20.361.005;3.733.378;16.612.661;43.504.432;10.904.991;6.614.079;11.066.129;2.587.203;3.225.301;6.411.929;2.761.100
julho, 2013;200.033.229;16.970.766;55.183.745;84.270.385;28.604.544;15.003.789;1.657.978;805.033;3.753.038;488.222;8.053.839;745.525;1.467.131;6.835.123;3.219.949;8.792.143;3.332.894;3.893.296;9.189.035;3.246.524;2.173.438;14.501.343;20.372.498;3.737.336;16.621.735;43.538.816;10.912.323;6.621.649;11.070.572;2.589.871;3.228.815;6.420.503;2.764.599
