Brasil, Grandes Regiões e Unidades da Federação: Projeções da população com data de referência no dia 1º de cada mês: 2010/2030;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DATA;Brasil;Norte;Nordeste;Sudeste;Sul;Centro-Oeste;Rondônia;Acre;Amazonas;Roraima;Pará;Amapá;Tocantins;Maranhão;Piauí;Ceará;Rio Grande do Norte;Paraíba;Pernambuco;Alagoas;Sergipe;Bahia;Minas Gerais;Espírito Santo;Rio de Janeiro;São Paulo;Paraná;Santa Catarina;Rio Grande do Sul;Mato Grosso do Sul;Mato Grosso;Goiás;Distrito Federal
outubro, 2015;203.889.278;17.519.540;55.903.620;85.845.831;29.125.614;15.494.672;1.703.058;834.335;3.902.131;524.253;8.264.878;783.622;1.507.263;6.926.012;3.240.069;8.920.497;3.400.278;3.937.927;9.329.838;3.282.094;2.221.440;14.645.465;20.679.811;3.843.975;16.866.423;44.455.623;11.110.093;6.826.351;11.189.170;2.661.625;3.324.331;6.649.964;2.858.751
novembro, 2015;204.031.044;17.539.866;55.930.156;85.903.473;29.144.806;15.512.744;1.704.724;835.412;3.907.606;525.762;8.272.596;785.021;1.508.745;6.929.376;3.240.812;8.925.262;3.402.733;3.939.639;9.335.021;3.283.382;2.223.203;14.650.728;20.691.045;3.847.908;16.875.436;44.489.083;11.117.388;6.833.925;11.193.493;2.664.268;3.327.883;6.658.374;2.862.219
dezembro, 2015;204.172.708;17.560.188;55.956.677;85.961.053;29.163.986;15.530.805;1.706.390;836.488;3.913.078;527.283;8.280.305;786.418;1.510.226;6.932.739;3.241.555;8.930.027;3.405.186;3.941.355;9.340.201;3.284.667;2.224.963;14.655.983;20.702.267;3.851.839;16.884.443;44.522.504;11.124.679;6.841.497;11.197.810;2.666.909;3.331.434;6.666.776;2.865.686
janeiro, 2016;204.314.268;17.580.506;55.983.181;86.018.571;29.183.153;15.548.856;1.708.055;837.564;3.918.546;528.813;8.288.007;787.815;1.511.706;6.936.101;3.242.298;8.934.790;3.407.635;3.943.075;9.345.378;3.285.951;2.226.723;14.661.232;20.713.476;3.855.768;16.893.444;44.555.884;11.131.966;6.849.067;11.202.120;2.669.548;3.334.986;6.675.171;2.869.150
fevereiro, 2016;204.455.719;17.600.820;56.009.669;86.076.025;29.202.308;15.566.897;1.709.719;838.640;3.924.010;530.353;8.295.702;789.210;1.513.186;6.939.462;3.243.040;8.939.553;3.410.081;3.944.797;9.350.551;3.287.232;2.228.481;14.666.473;20.724.670;3.859.695;16.902.438;44.589.222;11.139.249;6.856.635;11.206.424;2.672.187;3.338.538;6.683.559;2.872.613
março, 2016;204.597.060;17.621.130;56.036.139;86.133.415;29.221.449;15.584.926;1.711.383;839.714;3.929.471;531.903;8.303.389;790.605;1.514.665;6.942.822;3.243.782;8.944.314;3.412.524;3.946.523;9.355.721;3.288.510;2.230.237;14.671.706;20.735.851;3.863.620;16.911.425;44.622.519;11.146.528;6.864.200;11.210.721;2.674.823;3.342.091;6.691.939;2.876.073
abril, 2016;204.738.287;17.641.435;56.062.591;86.190.740;29.240.577;15.602.944;1.713.046;840.788;3.934.928;533.463;8.311.068;791.998;1.516.143;6.946.181;3.244.522;8.949.075;3.414.963;3.948.251;9.360.888;3.289.787;2.231.992;14.676.932;20.747.017;3.867.543;16.920.404;44.655.775;11.153.802;6.871.763;11.215.011;2.677.458;3.345.643;6.700.311;2.879.532
maio, 2016;204.879.397;17.661.734;56.089.025;86.247.997;29.259.690;15.620.951;1.714.708;841.862;3.940.381;535.031;8.318.739;793.391;1.517.621;6.949.539;3.245.263;8.953.834;3.417.400;3.949.982;9.366.050;3.291.061;2.233.746;14.682.150;20.758.169;3.871.465;16.929.376;44.688.987;11.161.072;6.879.323;11.219.295;2.680.092;3.349.195;6.708.676;2.882.988
junho, 2016;205.020.388;17.682.028;56.115.439;86.305.187;29.278.788;15.638.946;1.716.370;842.935;3.945.831;536.609;8.326.403;794.782;1.519.098;6.952.896;3.246.002;8.958.591;3.419.833;3.951.716;9.371.209;3.292.333;2.235.498;14.687.361;20.769.307;3.875.383;16.938.341;44.722.156;11.168.337;6.886.880;11.223.571;2.682.723;3.352.747;6.717.033;2.886.443
julho, 2016;205.161.258;17.702.316;56.141.833;86.362.308;29.297.872;15.656.929;1.718.031;844.007;3.951.276;538.195;8.334.059;796.173;1.520.575;6.956.252;3.246.741;8.963.347;3.422.263;3.953.453;9.376.364;3.293.602;2.237.248;14.692.563;20.780.429;3.879.300;16.947.297;44.755.282;11.175.597;6.894.435;11.227.840;2.685.354;3.356.299;6.725.381;2.889.895
agosto, 2016;205.302.002;17.722.598;56.168.206;86.419.359;29.316.940;15.674.899;1.719.691;845.078;3.956.718;539.790;8.341.707;797.562;1.522.051;6.959.606;3.247.479;8.968.102;3.424.689;3.955.193;9.381.515;3.294.870;2.238.997;14.697.756;20.791.536;3.883.214;16.956.245;44.788.364;11.182.852;6.901.986;11.232.101;2.687.982;3.359.850;6.733.722;2.893.345
setembro, 2016;205.442.619;17.742.873;56.194.558;86.476.339;29.335.992;15.692.857;1.721.350;846.149;3.962.156;541.394;8.349.347;798.951;1.523.526;6.962.959;3.248.216;8.972.854;3.427.112;3.956.934;9.386.662;3.296.134;2.240.744;14.702.941;20.802.627;3.887.126;16.965.184;44.821.401;11.190.102;6.909.534;11.236.355;2.690.609;3.363.401;6.742.054;2.896.793
outubro, 2016;205.583.105;17.763.141;56.220.888;86.533.247;29.355.027;15.710.803;1.723.008;847.219;3.967.590;543.005;8.356.980;800.339;1.525.001;6.966.311;3.248.952;8.977.604;3.429.532;3.958.679;9.391.805;3.297.397;2.242.490;14.708.118;20.813.703;3.891.036;16.974.115;44.854.393;11.197.346;6.917.079;11.240.602;2.693.233;3.366.952;6.750.379;2.900.239
novembro, 2016;205.723.458;17.783.401;56.247.195;86.590.081;29.374.046;15.728.735;1.724.665;848.288;3.973.020;544.624;8.364.604;801.725;1.526.474;6.969.661;3.249.687;8.982.352;3.431.949;3.960.425;9.396.944;3.298.657;2.244.234;14.713.285;20.824.762;3.894.943;16.983.036;44.887.340;11.204.585;6.924.621;11.244.840;2.695.856;3.370.502;6.758.695;2.903.682
dezembro, 2016;205.863.675;17.803.654;56.273.479;86.646.841;29.393.047;15.746.654;1.726.321;849.357;3.978.446;546.251;8.372.220;803.110;1.527.948;6.973.009;3.250.422;8.987.098;3.434.362;3.962.174;9.402.079;3.299.915;2.245.976;14.718.444;20.835.805;3.898.847;16.991.948;44.920.240;11.211.818;6.932.158;11.249.071;2.698.477;3.374.052;6.767.002;2.907.123
janeiro, 2017;206.003.753;17.823.899;56.299.738;86.703.526;29.412.031;15.764.560;1.727.977;850.425;3.983.868;547.885;8.379.828;804.495;1.529.420;6.976.356;3.251.155;8.991.841;3.436.772;3.963.925;9.407.209;3.301.171;2.247.717;14.723.593;20.846.832;3.902.749;17.000.850;44.953.094;11.219.045;6.939.692;11.253.294;2.701.097;3.377.601;6.775.301;2.910.561
fevereiro, 2017;206.143.689;17.844.135;56.325.973;86.760.133;29.430.996;15.782.451;1.729.631;851.493;3.989.286;549.527;8.387.429;805.878;1.530.891;6.979.701;3.251.887;8.996.582;3.439.178;3.965.677;9.412.334;3.302.424;2.249.456;14.728.733;20.857.841;3.906.648;17.009.742;44.985.901;11.226.266;6.947.222;11.257.508;2.703.714;3.381.149;6.783.591;2.913.997
março, 2017;206.283.480;17.864.362;56.352.183;86.816.664;29.449.943;15.800.329;1.731.284;852.559;3.994.700;551.175;8.395.021;807.261;1.532.362;6.983.045;3.252.619;9.001.320;3.441.581;3.967.432;9.417.455;3.303.675;2.251.193;14.733.864;20.868.833;3.910.545;17.018.624;45.018.661;11.233.481;6.954.748;11.261.714;2.706.329;3.384.696;6.791.873;2.917.431
abril, 2017;206.423.124;17.884.580;56.378.367;86.873.115;29.468.870;15.818.192;1.732.936;853.625;4.000.110;552.830;8.402.604;808.642;1.533.832;6.986.387;3.253.349;9.006.054;3.443.980;3.969.189;9.422.571;3.304.923;2.252.929;14.738.985;20.879.808;3.914.439;17.027.496;45.051.373;11.240.689;6.962.270;11.265.912;2.708.942;3.388.243;6.800.145;2.920.862
maio, 2017;206.562.618;17.904.789;56.404.523;86.929.487;29.487.778;15.836.041;1.734.587;854.691;4.005.515;554.492;8.410.180;810.022;1.535.301;6.989.726;3.254.078;9.010.786;3.446.375;3.970.947;9.427.683;3.306.169;2.254.662;14.744.096;20.890.765;3.918.329;17.036.356;45.084.036;11.247.891;6.969.787;11.270.101;2.711.554;3.391.789;6.808.409;2.924.290
junho, 2017;206.701.959;17.924.987;56.430.653;86.985.777;29.506.666;15.853.875;1.736.237;855.755;4.010.917;556.160;8.417.747;811.401;1.536.769;6.993.064;3.254.806;9.015.515;3.448.768;3.972.707;9.432.789;3.307.413;2.256.394;14.749.197;20.901.704;3.922.217;17.045.206;45.116.650;11.255.085;6.977.300;11.274.281;2.714.163;3.395.333;6.816.664;2.927.716
julho, 2017;206.841.144;17.945.175;56.456.755;87.041.986;29.525.533;15.871.694;1.737.886;856.819;4.016.314;557.834;8.425.306;812.779;1.538.237;6.996.400;3.255.533;9.020.240;3.451.156;3.974.468;9.437.891;3.308.654;2.258.124;14.754.288;20.912.625;3.926.102;17.054.044;45.149.214;11.262.273;6.984.808;11.278.452;2.716.770;3.398.877;6.824.909;2.931.139
agosto, 2017;206.980.170;17.965.353;56.482.828;87.098.111;29.544.380;15.889.498;1.739.533;857.882;4.021.707;559.514;8.432.857;814.156;1.539.703;6.999.734;3.256.258;9.024.962;3.453.541;3.976.231;9.442.987;3.309.893;2.259.853;14.759.368;20.923.527;3.929.984;17.062.871;45.181.729;11.269.454;6.992.311;11.282.614;2.719.374;3.402.419;6.833.145;2.934.559
setembro, 2017;207.119.034;17.985.520;56.508.871;87.154.152;29.563.205;15.907.286;1.741.180;858.945;4.027.096;561.200;8.440.399;815.532;1.541.169;7.003.066;3.256.982;9.029.680;3.455.923;3.977.995;9.448.079;3.311.129;2.261.579;14.764.438;20.934.411;3.933.863;17.071.685;45.214.193;11.276.628;6.999.810;11.286.768;2.721.977;3.405.961;6.841.372;2.937.976
outubro, 2017;207.257.734;18.005.675;56.534.885;87.210.108;29.582.008;15.925.059;1.742.824;860.006;4.032.480;562.891;8.447.932;816.907;1.542.634;7.006.395;3.257.705;9.034.394;3.458.300;3.979.760;9.453.165;3.312.363;2.263.303;14.769.498;20.945.275;3.937.739;17.080.488;45.246.606;11.283.794;7.007.303;11.290.911;2.724.577;3.409.501;6.849.590;2.941.391
novembro, 2017;207.396.267;18.025.818;56.560.867;87.265.977;29.600.789;15.942.815;1.744.468;861.067;4.037.861;564.587;8.455.458;818.281;1.544.097;7.009.723;3.258.427;9.039.105;3.460.675;3.981.527;9.458.246;3.313.595;2.265.026;14.774.546;20.956.120;3.941.611;17.089.278;45.278.968;11.290.952;7.014.791;11.295.046;2.727.175;3.413.039;6.857.798;2.944.803
dezembro, 2017;207.534.630;18.045.950;56.586.819;87.321.759;29.619.547;15.960.555;1.746.110;862.127;4.043.237;566.288;8.462.974;819.653;1.545.560;7.013.048;3.259.147;9.043.811;3.463.045;3.983.294;9.463.321;3.314.824;2.266.746;14.779.584;20.966.945;3.945.480;17.098.055;45.311.278;11.298.103;7.022.274;11.299.170;2.729.771;3.416.576;6.865.996;2.948.211
janeiro, 2018;207.672.820;18.066.069;56.612.739;87.377.452;29.638.283;15.978.278;1.747.751;863.187;4.048.608;567.994;8.470.482;821.025;1.547.022;7.016.370;3.259.865;9.048.513;3.465.412;3.985.063;9.468.390;3.316.050;2.268.465;14.784.610;20.977.751;3.949.346;17.106.820;45.343.536;11.305.246;7.029.751;11.303.285;2.732.364;3.420.112;6.874.185;2.951.617
fevereiro, 2018;207.810.834;18.086.175;56.638.625;87.433.055;29.656.994;15.995.985;1.749.391;864.246;4.053.975;569.704;8.477.982;822.395;1.548.483;7.019.691;3.260.583;9.053.211;3.467.775;3.986.832;9.473.455;3.317.274;2.270.181;14.789.625;20.988.536;3.953.208;17.115.571;45.375.740;11.312.381;7.037.223;11.307.391;2.734.955;3.423.646;6.882.364;2.955.020
março, 2018;207.948.670;18.106.268;56.664.479;87.488.567;29.675.682;16.013.675;1.751.029;865.304;4.059.338;571.419;8.485.472;823.764;1.549.942;7.023.008;3.261.298;9.057.904;3.470.134;3.988.602;9.478.513;3.318.496;2.271.895;14.794.628;20.999.301;3.957.067;17.124.308;45.407.891;11.319.507;7.044.689;11.311.486;2.737.544;3.427.178;6.890.533;2.958.419
abril, 2018;208.086.325;18.126.347;56.690.299;87.543.988;29.694.345;16.031.347;1.752.665;866.361;4.064.696;573.137;8.492.955;825.132;1.551.401;7.026.324;3.262.012;9.062.593;3.472.489;3.990.373;9.483.565;3.319.715;2.273.608;14.799.620;21.010.045;3.960.922;17.133.032;45.439.989;11.326.625;7.052.149;11.315.571;2.740.130;3.430.709;6.898.692;2.961.816
maio, 2018;208.223.796;18.146.413;56.716.084;87.599.315;29.712.983;16.049.001;1.754.300;867.417;4.070.050;574.860;8.500.428;826.499;1.552.859;7.029.636;3.262.725;9.067.277;3.474.841;3.992.144;9.488.612;3.320.931;2.275.318;14.804.600;21.020.768;3.964.774;17.141.742;45.472.031;11.333.735;7.059.602;11.319.646;2.742.714;3.434.238;6.906.841;2.965.209
junho, 2018;208.361.079;18.166.464;56.741.833;87.654.548;29.731.595;16.066.638;1.755.934;868.473;4.075.399;576.586;8.507.892;827.865;1.554.316;7.032.946;3.263.436;9.071.955;3.477.188;3.993.916;9.493.653;3.322.145;2.277.026;14.809.568;21.031.470;3.968.622;17.150.437;45.504.019;11.340.835;7.067.050;11.323.710;2.745.295;3.437.765;6.914.979;2.968.599
julho, 2018;208.498.173;18.186.501;56.767.547;87.709.686;29.750.182;16.084.257;1.757.566;869.528;4.080.743;578.315;8.515.348;829.230;1.555.771;7.036.253;3.264.145;9.076.629;3.479.532;3.995.688;9.498.687;3.323.357;2.278.732;14.814.524;21.042.150;3.972.466;17.159.118;45.535.952;11.347.927;7.074.491;11.327.764;2.747.873;3.441.290;6.923.108;2.971.986
agosto, 2018;208.635.074;18.206.522;56.793.224;87.764.728;29.768.743;16.101.857;1.759.196;870.582;4.086.083;580.047;8.522.795;830.593;1.557.226;7.039.558;3.264.852;9.081.298;3.481.872;3.997.460;9.503.715;3.324.565;2.280.436;14.819.467;21.052.809;3.976.306;17.167.784;45.567.829;11.355.010;7.081.926;11.331.807;2.750.449;3.444.813;6.931.225;2.975.369
setembro, 2018;208.771.780;18.226.529;56.818.864;87.819.672;29.787.277;16.119.439;1.760.825;871.635;4.091.419;581.783;8.530.233;831.956;1.558.679;7.042.859;3.265.558;9.085.961;3.484.208;3.999.233;9.508.737;3.325.772;2.282.138;14.824.398;21.063.445;3.980.143;17.176.434;45.599.649;11.362.083;7.089.354;11.335.839;2.753.022;3.448.334;6.939.333;2.978.749
outubro, 2018;208.908.287;18.246.519;56.844.465;87.874.518;29.805.783;16.137.002;1.762.452;872.688;4.096.749;583.521;8.537.661;833.317;1.560.131;7.046.158;3.266.262;9.090.618;3.486.540;4.001.005;9.513.753;3.326.976;2.283.837;14.829.316;21.074.060;3.983.976;17.185.069;45.631.413;11.369.147;7.096.776;11.339.861;2.755.593;3.451.853;6.947.430;2.982.126
novembro, 2018;209.044.594;18.266.494;56.870.029;87.929.264;29.824.262;16.154.546;1.764.077;873.740;4.102.075;585.261;8.545.081;834.677;1.561.583;7.049.453;3.266.964;9.095.270;3.488.869;4.002.778;9.518.762;3.328.177;2.285.535;14.834.222;21.084.651;3.987.804;17.193.689;45.663.119;11.376.201;7.104.190;11.343.871;2.758.161;3.455.370;6.955.516;2.985.499
dezembro, 2018;209.180.697;18.286.452;56.895.553;87.983.909;29.842.713;16.172.070;1.765.700;874.791;4.107.397;587.004;8.552.492;836.036;1.563.032;7.052.746;3.267.664;9.099.917;3.491.193;4.004.551;9.523.764;3.329.375;2.287.229;14.839.114;21.095.220;3.991.629;17.202.292;45.694.767;11.383.246;7.111.598;11.347.870;2.760.726;3.458.884;6.963.591;2.988.869
janeiro, 2019;209.316.592;18.306.393;56.921.036;88.038.452;29.861.136;16.189.575;1.767.322;875.841;4.112.713;588.749;8.559.894;837.393;1.564.481;7.056.035;3.268.362;9.104.557;3.493.513;4.006.323;9.528.760;3.330.571;2.288.922;14.843.993;21.105.765;3.995.450;17.210.880;45.726.358;11.390.280;7.118.998;11.351.858;2.763.288;3.462.396;6.971.656;2.992.235
fevereiro, 2019;209.452.279;18.326.317;56.946.480;88.092.893;29.879.529;16.207.060;1.768.942;876.890;4.118.025;590.496;8.567.286;838.750;1.565.929;7.059.321;3.269.059;9.109.191;3.495.829;4.008.095;9.533.749;3.331.765;2.290.613;14.848.859;21.116.287;3.999.266;17.219.450;45.757.889;11.397.305;7.126.391;11.355.834;2.765.847;3.465.906;6.979.709;2.995.598
março, 2019;209.587.753;18.346.224;56.971.882;88.147.229;29.897.893;16.224.525;1.770.560;877.939;4.123.332;592.244;8.574.670;840.105;1.567.375;7.062.604;3.269.753;9.113.819;3.498.141;4.009.867;9.538.731;3.332.955;2.292.301;14.853.711;21.126.786;4.003.078;17.228.004;45.789.361;11.404.319;7.133.776;11.359.799;2.768.404;3.469.413;6.987.752;2.998.957
abril, 2019;209.723.012;18.366.113;56.997.242;88.201.460;29.916.227;16.241.969;1.772.176;878.986;4.128.634;593.993;8.582.044;841.459;1.568.820;7.065.883;3.270.446;9.118.440;3.500.449;4.011.638;9.543.706;3.334.143;2.293.986;14.858.549;21.137.260;4.006.886;17.236.541;45.820.773;11.411.322;7.141.154;11.363.751;2.770.958;3.472.917;6.995.783;3.002.312
maio, 2019;209.858.053;18.385.984;57.022.559;88.255.585;29.934.531;16.259.393;1.773.791;880.033;4.133.931;595.744;8.589.409;842.812;1.570.264;7.069.160;3.271.136;9.123.055;3.502.753;4.013.409;9.548.675;3.335.329;2.295.669;14.863.374;21.147.710;4.010.690;17.245.061;45.852.125;11.418.316;7.148.523;11.367.692;2.773.508;3.476.419;7.003.803;3.005.663
junho, 2019;209.992.873;18.405.836;57.047.834;88.309.603;29.952.804;16.276.796;1.775.403;881.079;4.139.224;597.495;8.596.764;844.163;1.571.707;7.072.432;3.271.824;9.127.663;3.505.053;4.015.178;9.553.635;3.336.512;2.297.350;14.868.185;21.158.136;4.014.489;17.253.562;45.883.416;11.425.298;7.155.885;11.371.621;2.776.056;3.479.918;7.011.811;3.009.011
julho, 2019;210.127.469;18.425.669;57.073.064;88.363.512;29.971.046;16.294.178;1.777.013;882.125;4.144.511;599.247;8.604.110;845.514;1.573.148;7.075.702;3.272.510;9.132.265;3.507.349;4.016.948;9.558.589;3.337.692;2.299.029;14.872.981;21.168.537;4.018.284;17.262.046;45.914.646;11.432.269;7.163.239;11.375.538;2.778.601;3.483.414;7.019.809;3.012.355
agosto, 2019;210.261.839;18.445.483;57.098.250;88.417.312;29.989.256;16.311.539;1.778.622;883.169;4.149.794;601.000;8.611.447;846.863;1.574.588;7.078.967;3.273.194;9.136.859;3.509.640;4.018.716;9.563.536;3.338.869;2.300.705;14.877.763;21.178.913;4.022.074;17.270.512;45.945.814;11.439.230;7.170.585;11.379.442;2.781.142;3.486.907;7.027.794;3.015.695
setembro, 2019;210.395.980;18.465.277;57.123.390;88.471.001;30.007.435;16.328.877;1.780.228;884.213;4.155.071;602.753;8.618.774;848.211;1.576.026;7.082.229;3.273.876;9.141.447;3.511.927;4.020.483;9.568.475;3.340.044;2.302.378;14.882.531;21.189.263;4.025.859;17.278.959;45.976.920;11.446.179;7.177.922;11.383.334;2.783.681;3.490.398;7.035.768;3.019.031
outubro, 2019;210.529.889;18.485.051;57.148.485;88.524.579;30.025.580;16.346.194;1.781.833;885.255;4.160.344;604.506;8.626.092;849.557;1.577.464;7.085.488;3.274.555;9.146.027;3.514.210;4.022.249;9.573.406;3.341.216;2.304.049;14.887.284;21.199.588;4.029.640;17.287.388;46.007.963;11.453.116;7.185.251;11.387.213;2.786.216;3.493.885;7.043.730;3.022.363
novembro, 2019;210.663.562;18.504.805;57.173.533;88.578.043;30.043.693;16.363.489;1.783.435;886.297;4.165.611;606.258;8.633.400;850.903;1.578.900;7.088.742;3.275.232;9.150.599;3.516.489;4.024.014;9.578.330;3.342.385;2.305.718;14.892.022;21.209.887;4.033.416;17.295.797;46.038.942;11.460.042;7.192.571;11.391.079;2.788.748;3.497.370;7.051.680;3.025.691
dezembro, 2019;210.796.998;18.524.538;57.198.533;88.631.394;30.061.772;16.380.762;1.785.035;887.338;4.170.874;608.010;8.640.699;852.247;1.580.334;7.091.993;3.275.907;9.155.165;3.518.764;4.025.778;9.583.246;3.343.552;2.307.384;14.896.745;21.220.160;4.037.187;17.304.188;46.069.859;11.466.956;7.199.883;11.394.933;2.791.277;3.500.851;7.059.619;3.029.015
janeiro, 2020;210.930.193;18.544.249;57.223.486;88.684.629;30.079.817;16.398.011;1.786.633;888.379;4.176.131;609.762;8.647.988;853.590;1.581.767;7.095.240;3.276.580;9.159.722;3.521.034;4.027.541;9.588.154;3.344.716;2.309.047;14.901.453;21.230.407;4.040.954;17.312.559;46.100.710;11.473.859;7.207.185;11.398.774;2.793.803;3.504.329;7.067.545;3.032.335
fevereiro, 2020;211.063.145;18.563.940;57.248.390;88.737.749;30.097.828;16.415.238;1.788.228;889.418;4.181.383;611.512;8.655.268;854.932;1.583.199;7.098.483;3.277.250;9.164.272;3.523.300;4.029.302;9.593.054;3.345.877;2.310.707;14.906.145;21.240.626;4.044.716;17.320.910;46.131.498;11.480.749;7.214.478;11.402.601;2.796.326;3.507.803;7.075.459;3.035.650
março, 2020;211.195.851;18.583.608;57.273.245;88.790.751;30.115.804;16.432.442;1.789.822;890.456;4.186.630;613.261;8.662.537;856.272;1.584.629;7.101.722;3.277.917;9.168.813;3.525.561;4.031.061;9.597.947;3.347.036;2.312.366;14.910.822;21.250.819;4.048.472;17.329.240;46.162.219;11.487.626;7.221.763;11.406.415;2.798.845;3.511.275;7.083.361;3.038.962
abril, 2020;211.328.308;18.603.255;57.298.051;88.843.635;30.133.745;16.449.622;1.791.413;891.494;4.191.872;615.009;8.669.797;857.611;1.586.058;7.104.957;3.278.583;9.173.347;3.527.818;4.032.819;9.602.831;3.348.192;2.314.021;14.915.483;21.260.985;4.052.224;17.337.551;46.192.876;11.494.492;7.229.037;11.410.216;2.801.361;3.514.742;7.091.251;3.042.269
maio, 2020;211.460.513;18.622.878;57.322.805;88.896.400;30.151.650;16.466.779;1.793.002;892.531;4.197.108;616.756;8.677.047;858.949;1.587.486;7.108.188;3.279.245;9.177.872;3.530.071;4.034.575;9.607.707;3.349.345;2.315.674;14.920.129;21.271.123;4.055.970;17.345.841;46.223.466;11.501.345;7.236.303;11.414.003;2.803.873;3.518.207;7.099.128;3.045.572
junho, 2020;211.592.463;18.642.479;57.347.509;88.949.044;30.169.519;16.483.912;1.794.589;893.566;4.202.340;618.500;8.684.288;860.285;1.588.912;7.111.414;3.279.905;9.182.389;3.532.320;4.036.329;9.612.575;3.350.495;2.317.324;14.924.758;21.281.234;4.059.711;17.354.110;46.253.989;11.508.185;7.243.558;11.417.776;2.806.382;3.521.667;7.106.992;3.048.870
julho, 2020;211.724.156;18.662.057;57.372.160;89.001.566;30.187.352;16.501.020;1.796.173;894.601;4.207.566;620.243;8.691.518;861.621;1.590.336;7.114.637;3.280.563;9.186.897;3.534.564;4.038.082;9.617.434;3.351.642;2.318.971;14.929.371;21.291.316;4.063.448;17.362.358;46.284.445;11.515.012;7.250.804;11.421.536;2.808.888;3.525.124;7.114.844;3.052.164
agosto, 2020;211.855.588;18.681.611;57.396.759;89.053.966;30.205.147;16.518.105;1.797.755;895.635;4.212.786;621.983;8.698.739;862.955;1.591.759;7.117.855;3.281.218;9.191.397;3.536.803;4.039.832;9.622.285;3.352.787;2.320.615;14.933.968;21.301.370;4.067.178;17.370.584;46.314.834;11.521.826;7.258.040;11.425.282;2.811.390;3.528.578;7.122.683;3.055.454
setembro, 2020;211.986.757;18.701.141;57.421.305;89.106.242;30.222.905;16.535.164;1.799.334;896.668;4.218.002;623.720;8.705.949;864.287;1.593.180;7.121.068;3.281.870;9.195.888;3.539.038;4.041.580;9.627.127;3.353.928;2.322.257;14.938.548;21.311.395;4.070.904;17.378.789;46.345.154;11.528.626;7.265.266;11.429.013;2.813.888;3.532.027;7.130.510;3.058.739
outubro, 2020;212.117.661;18.720.647;57.445.796;89.158.393;30.240.626;16.552.199;1.800.911;897.701;4.223.212;625.455;8.713.150;865.618;1.594.600;7.124.277;3.282.519;9.200.370;3.541.268;4.043.326;9.631.961;3.355.067;2.323.896;14.943.112;21.321.392;4.074.624;17.386.971;46.375.406;11.535.413;7.272.482;11.432.730;2.816.383;3.535.473;7.138.323;3.062.020
novembro, 2020;212.248.295;18.740.128;57.470.234;89.210.418;30.258.307;16.569.208;1.802.485;898.732;4.228.416;627.187;8.720.340;866.948;1.596.018;7.127.482;3.283.166;9.204.842;3.543.494;4.045.070;9.636.786;3.356.204;2.325.532;14.947.658;21.331.360;4.078.338;17.395.132;46.405.589;11.542.187;7.279.687;11.436.433;2.818.875;3.538.914;7.146.123;3.065.296
dezembro, 2020;212.378.658;18.759.583;57.494.616;89.262.316;30.275.950;16.586.192;1.804.057;899.762;4.233.615;628.916;8.727.520;868.277;1.597.435;7.130.682;3.283.810;9.209.306;3.545.716;4.046.811;9.641.602;3.357.337;2.327.165;14.952.188;21.341.298;4.082.047;17.403.269;46.435.702;11.548.947;7.286.882;11.440.122;2.821.362;3.542.352;7.153.911;3.068.567
janeiro, 2021;212.508.746;18.779.014;57.518.942;89.314.086;30.293.554;16.603.150;1.805.627;900.792;4.238.809;630.642;8.734.691;869.604;1.598.850;7.133.877;3.284.451;9.213.759;3.547.932;4.048.550;9.646.409;3.358.467;2.328.796;14.956.700;21.351.206;4.085.751;17.411.384;46.465.745;11.555.693;7.294.066;11.443.795;2.823.846;3.545.786;7.161.685;3.071.834
fevereiro, 2021;212.638.558;18.798.418;57.543.212;89.365.727;30.311.118;16.620.083;1.807.193;901.820;4.243.997;632.364;8.741.851;870.930;1.600.263;7.137.068;3.285.089;9.218.204;3.550.144;4.050.286;9.651.207;3.359.595;2.330.423;14.961.195;21.361.085;4.089.449;17.419.476;46.495.717;11.562.424;7.301.240;11.447.454;2.826.327;3.549.215;7.169.445;3.075.095
março, 2021;212.768.089;18.817.797;57.567.424;89.417.237;30.328.642;16.636.989;1.808.758;902.848;4.249.179;634.082;8.749.000;872.255;1.601.675;7.140.254;3.285.724;9.222.639;3.552.352;4.052.019;9.655.996;3.360.720;2.332.048;14.965.673;21.370.933;4.093.141;17.427.545;46.525.618;11.569.142;7.308.402;11.451.098;2.828.803;3.552.640;7.177.193;3.078.353
abril, 2021;212.897.337;18.837.149;57.591.579;89.468.616;30.346.125;16.653.868;1.810.319;903.875;4.254.356;635.796;8.756.140;873.578;1.603.085;7.143.435;3.286.357;9.227.063;3.554.555;4.053.750;9.660.776;3.361.842;2.333.669;14.970.133;21.380.751;4.096.827;17.435.590;46.555.447;11.575.845;7.315.554;11.454.727;2.831.276;3.556.061;7.184.926;3.081.605
maio, 2021;213.026.299;18.856.474;57.615.675;89.519.862;30.363.567;16.670.721;1.811.878;904.900;4.259.528;637.505;8.763.269;874.900;1.604.494;7.146.611;3.286.986;9.231.478;3.556.753;4.055.478;9.665.546;3.362.961;2.335.288;14.974.575;21.390.538;4.100.508;17.443.611;46.585.205;11.582.533;7.322.694;11.458.341;2.833.745;3.559.477;7.192.647;3.084.852
